,fullR2,cvR2,deltaR2
RL1_1_0,0.04598054241508083,[-0.00010153105297203702],0.0005011996707054989
RL1_1_1,0.06641149812958533,[0.0005604547263587945],0.00022223112048069815
RL1_1_2,0.06595029888000457,[0.0004527489336555557],3.026895855855194e-05
RL1_1_3,0.07171688532175416,[0.003836584890927819],0.00010613788471613983
RL1_1_4,0.17338395543050772,[0.005582495552044875],0.00237064894408745
RL2_1_0,0.0017118567242413562,[-7.267762390890109e-05],-1.575613157963631e-05
RL1_2_0,0.11452469342995089,[-1.7898165233620755e-05],0.00011330022859844247
RL1_2_1,0.00041947572629504883,[-0.00024169974993313304],1.755007578022608e-05
RL1_2_2,0.009263805832671534,[-9.088532453347398e-05],0.000244157128186772
RL1_3_0,0.037116937649159874,[-4.970003042813476e-05],-2.626809185370116e-06
RL1_3_1,0.09671516186979985,[0.0002894223072934521],0.00039010396574327977
RL1_3_2,0.12353286946127484,[0.0006953114331637811],8.857771375055112e-05
RL1_3_3,0.09089659500792949,[-0.00029614953483375617],0.005718137333174958
RL1_4_0,0.011405956789249116,[-4.048148710155131e-05],0.00015762955981861622
RL1_4_1,0.10485514055663736,[0.001317107719034083],1.2110209020782525e-05
RL1_4_2,0.04578269726418566,[0.0005414664975759154],0.00021123266635834914
RL1_5_0,0.08670542510420333,[-0.00018312009314469524],2.337855527671795e-05
RL1_5_1,0.11287541716243202,[0.00043973959671234075],0.00017153539153630382
RL1_5_2,0.10077498019160255,[0.0008371078973880341],-8.716490443483327e-06
RL1_5_3,0.23408031409459248,[0.00028913813944977387],-5.455679222277077e-05
RL1_5_4,0.010974190249205706,[-0.00011632583669267671],0.00043871145786907907
RL2_5_0,0.03211882815969741,[6.463422428455434e-05],0.0002419335381570048
